trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.5, 'e': 0.862807070514761}",25,0,-35.58916452161925,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-78.84984297772701,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.8525245220595057}",25,0,-88.07832484987178,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.8472551110134161}",30,0,-67.23103919355209,"{0: 17, 1: 8, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.8419009751622687}",20,0,-108.66174826617613,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.8364626499151869}",30,0,-64.9129652102457,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.8309406791001634}",25,0,-50.55848780050985,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.8253356149096783}",20,0,-46.725302339698594,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.8196480178454795}",25,17,12.195314377134263,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.8138784566625339}",20,0,-124.99893170637797,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.8080275083121519}",20,0,-90.86063462798286,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8020957578842927}",20,11,3.607022577251926,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.7960837985490559}",35,0,-237.01383399017087,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
66,False,"{'a': 0.5, 'e': 0.7899922314973651}",30,16,-66.4921762438064,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.7838216658808492}",30,15,-46.15222944930433,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.7775727187509279}",25,0,-62.23123437406143,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.7712460149971065}",25,0,-93.51166689821495,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.7648421872844884}",25,0,-92.44498336257202,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7583618759905082}",30,0,-123.39959723680295,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.751805729140895}",30,0,-186.3205289964189,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
73,False,"{'a': 0.5, 'e': 0.7451744023448704}",25,9,-5.9856681788452155,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.7384685587295879}",25,0,-115.16959842374156,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.7316888688738209}",25,19,-2.623777301180101,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.7248360107409052}",20,0,-103.61305664801961,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.7179106696109434}",25,10,-59.485685819366395,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,0,-21.90211762183722,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.7038453156522362}",20,0,-165.87767548902033,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 4}",0
80,False,"{'a': 0.5, 'e': 0.6967067093471655}",20,0,-75.26426969322446,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.6894984329517471}",20,0,-130.7757645886458,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.6822212072876136}",30,12,-20.605357359276223,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.6748757600712672}",20,0,-20.908300636108184,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.6674628258413082}",25,10,3.129817517193599,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.6599831458849822}",20,0,-32.618853176658455,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.6524374681640519}",25,0,-96.35450756744582,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.6448265472400012}",20,2,-76.31925721432492,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.6371511441985802}",30,0,-224.0597180995727,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.6294120265736969}",25,0,-110.42481084516703,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.6216099682706645}",20,0,-50.774818146807036,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.6137457494888116}",20,9,8.683349619812006,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.6058201566434629}",25,0,-33.033732589709246,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.5978339822872982}",30,9,-141.21125618378815,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.5897880250310983}",20,0,-147.9455486687252,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.5816830894638835}",20,0,-65.80792890688605,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5735199860724567}",25,0,-22.937116301635225,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5652995311603544}",35,0,-78.05321794533768,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5570225467662173}",30,7,-92.14338498947812,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.5486898605815876}",35,24,-3.6836395499540804,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,6,-45.14538266114357,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.5318607213743555}",20,11,-25.59402814787519,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.5233659512516496}",30,0,-60.101466191221945,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.5148188449699553}",20,12,-10.499777494107306,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,13,-33.636934036077974,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.497571047891727}",30,14,-80.06945388065157,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
106,False,"{'a': 0.5, 'e': 0.48887208186052755}",20,3,-48.844812666382424,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.48012422902853413}",25,0,-45.85422889979636,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.47132836417373997}",25,16,5.951538378757296,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4624853668753008}",25,2,-9.767772378126649,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4535961214255773}",20,3,-29.853996194910877,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.44466151674170673}",20,8,-23.757842509079936,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.43568244627671204}",20,0,-35.712480549772415,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.42665980793015723}",30,13,-72.12275867509273,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
114,False,"{'a': 0.5, 'e': 0.41759450395835795}",25,0,-1.7264408319458708,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.40848744088415717}",35,8,-29.134690972814177,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3993395294062732}",25,19,9.908414621083462,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
